viirs_id,latitude,longitude,brightness,resolution_along_scan,resolution_along_track,detection_confidence,fire_power,persistent_anomaly,date,province
1,12.35419369,106.64359283,341.60202026,0.375,0.375,8,11.88087273,0,2023-01-31,other
1,11.85868645,102.84025574,348.59030151,0.375,0.375,8,9.48629951,0,2023-01-31,other
1,12.0658226,104.34685516,341.3666687,0.375,0.375,8,2.7596971999999997,0,2023-01-31,other
1,11.86239243,102.83973694,337.69781494,0.375,0.375,8,8.20847416,0,2023-01-31,other
1,12.27732468,105.84171295,340.70181274,0.375,0.375,8,2.84678292,0,2023-01-31,other
1,12.49567127,107.55512238,337.26104736,0.375,0.375,8,3.7495501,0,2023-01-31,other
1,12.08580875,104.31031799,342.15527344,0.375,0.375,8,8.8292923,0,2023-01-31,other
1,12.08530712,104.30657196,337.02325439,0.375,0.375,8,8.36173153,0,2023-01-31,other
1,12.08987141,104.30976868,334.73022461,0.375,0.375,8,8.8292923,0,2023-01-31,other
1,12.47530556,107.26382446,339.19979858,0.375,0.375,8,7.58702469,0,2023-01-31,other
1,12.42260838,106.80127716,331.93008423,0.375,0.375,8,3.92204976,0,2023-01-31,other
1,12.3921051,106.55953217,335.46304321,0.375,0.375,8,3.31398535,0,2023-01-31,other
1,12.50777054,107.40245056,335.9822998,0.375,0.375,8,3.63605666,0,2023-01-31,other
1,12.50743484,107.39974213,335.10876465,0.375,0.375,8,2.9489212,0,2023-01-31,other
1,12.38856411,106.45599365,339.39877319,0.375,0.375,8,3.36015415,0,2023-01-31,other
1,12.41676235,106.48864746,331.10748291,0.375,0.375,8,4.17590523,0,2023-01-31,other
1,12.31615353,105.54763031,339.55163574,0.375,0.375,8,8.35373402,0,2023-01-31,other
1,12.40513611,106.18138885,341.88833618,0.375,0.375,8,5.29629183,0,2023-01-31,other
1,12.40449047,106.17651367,336.73693848,0.375,0.375,8,5.29629183,0,2023-01-31,other
1,12.12200642,104.09361267,330.61978149,0.375,0.375,8,3.4773562,0,2023-01-31,other
1,12.12151527,104.09008026,332.00772095,0.375,0.375,8,2.54139543,0,2023-01-31,other
1,12.41493511,106.21980286,343.30541992,0.375,0.375,8,5.41341257,0,2023-01-31,other
1,12.31572819,105.54982758,338.99597168,0.375,0.375,8,7.13000917,0,2023-01-31,other
1,12.40388107,106.17970276,337.60076904,0.375,0.375,8,4.35667753,0,2023-01-31,other
1,12.52479172,107.12484741,337.2270813,0.375,0.375,8,7.39551067,0,2023-01-31,other
1,12.41339016,106.21822357,336.72723389,0.375,0.375,8,5.65850592,0,2023-01-31,other
1,12.40851498,106.17913818,349.82778931,0.375,0.375,8,6.09742308,0,2023-01-31,other
1,12.01525021,103.16744232,346.97183228,0.375,0.375,8,14.97249317,0,2023-01-31,other
1,12.28463268,105.16687775,350.68676758,0.375,0.375,8,8.52231121,0,2023-01-31,other
1,12.45794296,106.46113586,331.58795166,0.375,0.375,8,3.60186195,0,2023-01-31,other
1,11.50397873,99.53851318,330.60522461,0.375,0.375,8,1.75078142,0,2023-01-31,Prachuap Khiri Khan
1,12.46585464,106.48603821,339.38421631,0.375,0.375,8,3.4193511,0,2023-01-31,other
1,12.42764378,106.1815567,354.74383545,0.375,0.375,8,8.36840153,0,2023-01-31,other
1,11.50729084,99.53799438,343.87564087,0.375,0.375,8,5.588449,0,2023-01-31,Prachuap Khiri Khan
1,12.57944393,107.24168396,340.86193848,0.375,0.375,8,5.00292826,0,2023-01-31,other
1,12.58937359,107.15892792,331.25552368,0.375,0.375,8,4.04757643,0,2023-01-31,other
1,12.48366833,106.32442474,337.59347534,0.375,0.375,8,11.23096752,0,2023-01-31,other
1,12.48302555,106.31941986,341.33267212,0.375,0.375,8,11.23096752,0,2023-01-31,other
1,12.524961470000001,106.60987091,342.5071106,0.375,0.375,8,5.61691427,0,2023-01-31,other
1,12.48963928,106.33387756,330.36499023,0.375,0.375,8,0.79027265,0,2023-01-31,other
1,12.62035465,107.28475952,334.69140625,0.375,0.375,8,6.577775,0,2023-01-31,other
1,12.52984428,106.57223511,332.46633911,0.375,0.375,8,1.98006392,0,2023-01-31,other
1,12.08242321,103.23441315,332.61920166,0.375,0.375,8,2.34795856,0,2023-01-31,other
1,12.18178272,103.92255402,331.26278687,0.375,0.375,8,3.5191474,0,2023-01-31,other
1,12.17582798,103.85010529,337.23434448,0.375,0.375,8,7.28608131,0,2023-01-31,other
